rp_name,service_name
VAC Healthshare,VAC Healthshare
GC Digital Talent,GC Digital Talent
MyCGC,MyCGC
CED Client Space,DEC-CED
CED Client Space - Canada.ca,DEC-CED
PrairiesCan and PacifiCan,IRIS (PrairiesCan)
Manage CanadaLogin,Profile Management
